iter	Logloss
350	0.2470776704
351	0.246957606
352	0.2465521053
353	0.2464918828
354	0.2463399728
355	0.2462235571
356	0.2459084375
357	0.2453878912
358	0.245036506
359	0.2447819691
360	0.2446584017
361	0.2442786524
362	0.2441560394
363	0.2439987177
364	0.2436854718
365	0.2434510568
366	0.2429817362
367	0.2429348537
368	0.2427088791
369	0.242416678
370	0.2422689891
371	0.2421261934
372	0.2417009904
373	0.2414427346
374	0.2410207696
375	0.2407884494
376	0.2406756871
377	0.2404171643
378	0.2403366699
379	0.2400553927
380	0.2400336648
381	0.2395436959
382	0.239191379
383	0.2390239571
384	0.2387123842
385	0.2385499826
386	0.2382235902
387	0.2378120514
388	0.2375857832
389	0.2375668179
390	0.2371893268
391	0.2368518699
392	0.2364801725
393	0.2360878439
394	0.2359544611
395	0.2357503677
396	0.235422565
397	0.2352627313
398	0.2349230358
399	0.2348855776
400	0.2345573643
401	0.2338564321
402	0.2335714165
403	0.2332156567
404	0.2327984696
405	0.2326509974
406	0.2321614218
407	0.2320043697
408	0.2318313079
409	0.2315046931
410	0.2311040229
411	0.2309618816
412	0.2305277796
413	0.23030632
414	0.2299712382
415	0.2296310493
416	0.2291554697
417	0.2289484777
418	0.2285266362
419	0.2284856681
420	0.2278641592
421	0.2272939913
422	0.2271432694
423	0.2267968215
424	0.2265268885
425	0.2260123543
426	0.2257583743
427	0.2255175456
428	0.2253930188
429	0.2252934008
430	0.2250488263
431	0.2248453057
432	0.2247574937
433	0.2247147856
434	0.2245987442
435	0.2244729537
436	0.2240444015
437	0.2238350103
438	0.2237702509
439	0.2236343891
440	0.2229869924
441	0.2225677297
442	0.2219938031
443	0.2217894037
444	0.2215909394
445	0.2214728566
446	0.2212660709
447	0.221035384
448	0.2206525638
449	0.2203412094
450	0.220115531
451	0.2197557575
452	0.219440992
453	0.2192272706
454	0.2189381021
455	0.2188108775
456	0.2186344147
457	0.2185460208
458	0.2181265834
459	0.2177707608
460	0.217709518
461	0.2176229007
462	0.2172165248
463	0.2169654082
464	0.2166873579
465	0.2163706976
466	0.2161353108
467	0.2156914701
468	0.2154672712
469	0.2153481503
470	0.2151874908
471	0.2150107395
472	0.2148656349
473	0.2147633166
474	0.2144876656
475	0.2139774158
476	0.2136712982
477	0.213299954
478	0.2130919921
479	0.2130093654
480	0.2127165866
481	0.2125411214
482	0.2122340156
483	0.2119702536
484	0.2116226258
485	0.2111697654
486	0.2107837692
487	0.2104692726
488	0.2103676971
489	0.2102339788
490	0.2099515715
491	0.2098868045
492	0.2092717596
493	0.2088148956
494	0.2085969623
495	0.2084013182
496	0.2082982274
497	0.2082426048
498	0.2079303165
499	0.2076365251
