iter	Logloss
0	0.5369292532
1	0.4386527288
2	0.378029186
3	0.3389682992
4	0.3164584753
5	0.2987033854
6	0.2864544469
7	0.2778943253
8	0.2723171948
9	0.2683461341
10	0.2655689873
11	0.2634668135
12	0.2620818556
13	0.2607835584
14	0.2596989552
15	0.2588096642
16	0.2579851464
17	0.2575160171
18	0.2572331215
19	0.256813353
20	0.256420396
21	0.2561489876
22	0.255988374
23	0.2557845409
24	0.2555448749
25	0.2553488486
26	0.2551976521
27	0.2550796855
28	0.2549173273
29	0.2548285164
30	0.2547539979
31	0.2546238286
32	0.2545302671
33	0.2543771122
34	0.254318116
35	0.254143022
36	0.2540593921
37	0.253953871
38	0.2538254833
39	0.2537502797
40	0.2536897345
41	0.2535950131
42	0.2535375473
43	0.2534714616
44	0.253369109
45	0.2531534039
46	0.2531141311
47	0.2530621014
48	0.2530078373
49	0.2528546617
50	0.2528076021
51	0.2527511021
52	0.2526913064
53	0.2526175379
54	0.2525630167
55	0.2525102073
56	0.2524710717
57	0.2524190171
58	0.2523800761
59	0.2523471207
60	0.2523084639
61	0.2522846192
62	0.2522527235
63	0.2521742551
64	0.252139032
65	0.2520341168
66	0.2519936579
67	0.2519628999
68	0.2519364925
69	0.2517817693
70	0.2516578972
71	0.2515675985
72	0.2514977827
73	0.2514411541
74	0.2514072966
75	0.2512934518
76	0.2512447169
77	0.2511308405
78	0.2510735431
79	0.2510349119
80	0.2510019262
81	0.2509724646
82	0.2509338011
83	0.2508366313
84	0.2507290395
85	0.2506045937
86	0.2505811717
87	0.2505464945
88	0.2504387534
89	0.2504165465
90	0.250336747
91	0.250299696
92	0.2502720489
93	0.2502018777
94	0.2501170304
95	0.2500975752
96	0.2499924653
97	0.2499596282
98	0.2499192941
99	0.2498475648
100	0.2498200589
101	0.2497988278
102	0.2496813014
103	0.249588595
104	0.2495630556
105	0.2495062468
106	0.2493854633
107	0.2493096098
108	0.2492187329
109	0.2491703988
110	0.2491028387
111	0.249006153
112	0.2489826138
113	0.2489268304
114	0.2487538003
115	0.2486687231
116	0.2486306772
117	0.2485856616
118	0.2485430032
119	0.248450268
120	0.2484037677
121	0.2483641399
122	0.2482679867
123	0.248242346
124	0.2481745259
125	0.2481146049
126	0.2480897937
127	0.248011401
128	0.2479852279
129	0.2479551134
130	0.2479254985
131	0.247887895
132	0.2478178264
133	0.2477827838
134	0.2477533045
135	0.2477184576
136	0.2476074095
137	0.2475558185
138	0.2474954579
139	0.2474651906
140	0.2474212231
141	0.2473817081
142	0.2473043558
143	0.2472412019
144	0.2472029589
145	0.2471803121
146	0.2471287528
147	0.2470996964
148	0.2470754702
149	0.2470541109
150	0.2470276126
151	0.2469464531
152	0.2468794032
153	0.2468414597
154	0.2468100589
155	0.2467290467
156	0.2466831609
157	0.2466556845
158	0.2466351867
159	0.2466081706
160	0.2465667198
161	0.2464971714
162	0.2464789098
163	0.2464552054
164	0.246420973
165	0.2463287913
166	0.2463047917
167	0.2462585345
168	0.246230082
169	0.2461859008
170	0.2461566849
171	0.2461345448
172	0.2460788103
173	0.2460198514
174	0.2459820976
175	0.2459410518
176	0.2459173651
177	0.2458833282
178	0.2458334125
179	0.2458017183
180	0.2457778868
181	0.2457372798
182	0.2456976542
183	0.2456730821
184	0.2456261809
185	0.2455987199
186	0.2455537102
187	0.2455337318
188	0.2455058189
189	0.2454870603
190	0.2454641784
191	0.2454446666
192	0.2453719245
193	0.2453146796
194	0.2452831238
195	0.2452634725
196	0.2452420442
197	0.2452021429
198	0.2451775127
199	0.2451400108
200	0.2450773217
201	0.2450045802
202	0.2449792563
203	0.2449514439
204	0.2449264408
205	0.2448834107
206	0.2448625695
207	0.2448388214
208	0.2447933447
209	0.2447476384
210	0.2447251082
211	0.244665078
212	0.244647227
213	0.2446204576
214	0.2445685875
215	0.2445443802
216	0.2445012562
217	0.2444662869
218	0.244437748
219	0.2444182439
220	0.2443746349
221	0.2443306223
222	0.2442851502
223	0.2442549829
224	0.2442336965
225	0.2442044536
226	0.2441829176
227	0.2441535402
228	0.2441321312
229	0.2441035551
230	0.2440698806
231	0.2440518608
232	0.2440274989
233	0.2440034743
234	0.2439676042
235	0.2439439525
236	0.2439176975
237	0.2438963647
238	0.2438648903
239	0.2438025367
240	0.2437837939
241	0.2437603903
242	0.2437459066
243	0.2437178703
244	0.2436893036
245	0.2436671218
246	0.2436394215
247	0.2436204168
248	0.2435742152
249	0.2435429968
