iter	Passed	Remaining
402	10977	16261
403	11001	16229
404	11034	16211
405	11065	16189
406	11097	16169
407	11128	16147
408	11159	16125
409	11199	16117
410	11239	16106
411	11283	16103
412	11321	16090
413	11361	16082
414	11415	16091
415	11462	16091
416	11507	16088
417	11544	16073
418	11591	16073
419	11617	16043
420	11645	16016
421	11671	15985
422	11699	15958
423	11726	15929
424	11759	15910
425	11797	15896
426	11827	15872
427	11855	15843
428	11883	15817
429	11910	15788
430	11937	15759
431	11964	15731
432	11994	15706
433	12022	15678
434	12048	15649
435	12078	15624
436	12111	15603
437	12145	15583
438	12176	15560
439	12203	15531
440	12233	15506
441	12272	15493
442	12304	15470
443	12341	15455
444	12370	15428
445	12399	15401
446	12425	15372
447	12456	15348
448	12486	15322
449	12517	15298
450	12551	15278
451	12584	15257
452	12611	15228
453	12642	15204
454	12676	15184
455	12705	15157
456	12731	15126
457	12759	15099
458	12785	15069
459	12814	15042
460	12842	15015
461	12873	14991
462	12900	14962
463	12928	14934
464	12957	14907
465	12986	14881
466	13011	14850
467	13038	14821
468	13067	14795
469	13094	14766
470	13132	14749
471	13158	14719
472	13185	14691
473	13217	14667
474	13244	14638
475	13273	14611
476	13298	14580
477	13324	14550
478	13352	14523
479	13379	14494
480	13405	14464
481	13432	14435
482	13456	14404
483	13487	14378
484	13515	14351
485	13544	14325
486	13573	14297
487	13600	14269
488	13628	14241
489	13655	14213
490	13682	14184
491	13707	14153
492	13737	14127
493	13763	14097
494	13793	14072
495	13820	14043
496	13851	14018
497	13876	13988
498	13906	13962
499	13937	13937
500	13966	13911
501	13996	13885
502	14026	13859
503	14056	13833
504	14084	13806
505	14112	13778
506	14137	13747
507	14168	13722
508	14195	13693
509	14224	13666
510	14254	13640
511	14296	13626
512	14327	13601
513	14360	13578
514	14395	13557
515	14422	13527
516	14452	13501
517	14484	13478
518	14514	13451
519	14542	13424
520	14567	13393
521	14595	13365
522	14621	13335
523	14648	13306
524	14678	13280
525	14704	13250
526	14730	13221
527	14756	13191
528	14783	13162
529	14811	13134
530	14835	13103
531	14862	13074
532	14888	13044
533	14987	13079
534	15026	13060
535	15051	13029
536	15078	13000
537	15110	12975
538	15135	12945
539	15162	12916
540	15190	12887
541	15216	12858
542	15243	12829
543	15266	12797
544	15298	12772
545	15330	12747
546	15358	12719
547	15386	12690
548	15414	12662
549	15439	12632
550	15464	12601
551	15493	12574
552	15520	12545
553	15547	12516
554	15578	12490
555	15604	12461
556	15633	12433
557	15662	12406
558	15690	12378
559	15715	12347
560	15743	12319
561	15774	12293
562	15801	12264
563	15827	12235
564	15853	12206
565	15880	12176
566	15910	12150
567	15939	12123
568	15964	12092
569	15994	12065
570	16024	12039
571	16046	12007
572	16073	11977
573	16099	11948
574	16127	11920
575	16154	11891
576	16179	11861
577	16207	11833
578	16237	11806
579	16261	11775
580	16291	11748
581	16320	11721
582	16345	11691
583	16372	11662
584	16400	11634
585	16438	11613
586	16466	11585
587	16490	11554
588	16517	11525
589	16543	11496
590	16565	11464
591	16593	11436
592	16619	11406
593	16644	11376
594	16670	11347
595	16693	11315
596	16717	11284
597	16741	11254
598	16765	11223
599	16789	11192
600	16814	11163
601	16844	11136
602	16871	11107
603	16896	11077
604	16919	11046
605	16945	11017
606	16975	10990
607	17008	10966
608	17034	10936
609	17058	10906
610	17085	10877
611	17110	10847
612	17137	10819
613	17161	10788
614	17182	10756
615	17212	10729
616	17238	10700
617	17264	10671
618	17286	10639
619	17322	10616
620	17346	10586
621	17369	10555
622	17393	10525
623	17421	10497
624	17445	10467
625	17470	10437
626	17494	10407
627	17518	10377
628	17542	10346
629	17564	10315
630	17586	10284
631	17610	10254
632	17634	10224
633	17657	10193
634	17680	10162
635	17702	10131
636	17726	10101
637	17754	10073
638	17780	10045
639	17805	10015
640	17829	9985
641	17853	9955
642	17878	9926
643	17903	9896
644	17933	9870
645	17960	9841
